customer_id,party_id,customer_number,customer_segment,lifecycle_stage,acquisition_date,risk_tier,engagement_score
CUST001751,PTY001751,CN-0001751,small_business,former,2021-06-15,low,48.91
CUST000341,PTY000341,CN-0000341,small_business,former,2018-06-01,low,40.86
CUST001816,PTY001816,CN-0001816,affluent,prospect,2018-06-30,medium,79.73
CUST003612,PTY003612,CN-0003612,small_business,former,2020-06-28,medium,67.37
CUST001391,PTY001391,CN-0001391,retail,prospect,2018-11-19,low,31.15
CUST000123,PTY000123,CN-0000123,small_business,lapsed,2022-09-16,low,80.85
CUST002994,PTY002994,CN-0002994,affluent,active,2022-05-12,low,57.03
CUST004316,PTY004316,CN-0004316,affluent,active,2026-04-15,very_high,80.3
CUST004644,PTY004644,CN-0004644,small_business,lapsed,2018-12-11,very_high,43.11
CUST003486,PTY003486,CN-0003486,retail,former,2024-06-16,low,64.17
CUST001079,PTY001079,CN-0001079,affluent,lapsed,2026-06-17,medium,19.58
CUST001982,PTY001982,CN-0001982,affluent,former,2024-05-15,very_high,88.48
CUST002750,PTY002750,CN-0002750,affluent,active,2022-08-06,medium,94.02
CUST002837,PTY002837,CN-0002837,small_business,active,2023-03-10,high,35.81
CUST002553,PTY002553,CN-0002553,small_business,active,2018-09-25,very_high,81.36
CUST001911,PTY001911,CN-0001911,affluent,active,2021-08-30,medium,62.66
CUST003546,PTY003546,CN-0003546,affluent,active,2024-06-26,high,77.17
CUST004314,PTY004314,CN-0004314,small_business,inactive,2025-10-24,high,10.71
CUST000728,PTY000728,CN-0000728,affluent,active,2020-07-31,low,30.29
CUST002152,PTY002152,CN-0002152,retail,prospect,2024-03-07,high,53.67
CUST000477,PTY000477,CN-0000477,affluent,prospect,2020-12-12,high,79.69
CUST004678,PTY004678,CN-0004678,affluent,former,2020-06-09,very_high,52.72
CUST004189,PTY004189,CN-0004189,affluent,inactive,2024-12-27,medium,91.46
CUST000153,PTY000153,CN-0000153,affluent,former,2020-08-26,very_high,1.78
