customer_id,party_id,customer_number,customer_segment,lifecycle_stage,acquisition_date,risk_tier,engagement_score
CUST003377,PTY003377,CN-0003377,affluent,active,2019-08-25,high,38.76
CUST002414,PTY002414,CN-0002414,affluent,lapsed,2019-12-07,very_high,66.41
CUST003122,PTY003122,CN-0003122,affluent,prospect,2020-12-05,high,12.51
CUST002887,PTY002887,CN-0002887,small_business,active,2026-06-25,medium,15.63
CUST001626,PTY001626,CN-0001626,affluent,prospect,2023-07-24,low,37.6
CUST003958,PTY003958,CN-0003958,affluent,active,2026-04-22,very_high,37.32
CUST002839,PTY002839,CN-0002839,small_business,former,2023-08-11,very_high,38.43
CUST002571,PTY002571,CN-0002571,affluent,active,2026-06-02,medium,91.59
CUST004033,PTY004033,CN-0004033,small_business,inactive,2024-09-10,very_high,21.79
CUST004150,PTY004150,CN-0004150,retail,prospect,2022-10-20,low,89.02
CUST000220,PTY000220,CN-0000220,retail,inactive,2025-09-08,low,52.32
CUST003947,PTY003947,CN-0003947,small_business,active,2019-03-16,very_high,14.71
CUST000335,PTY000335,CN-0000335,small_business,former,2018-03-04,medium,8.55
CUST002189,PTY002189,CN-0002189,retail,prospect,2022-07-28,low,72.44
CUST004491,PTY004491,CN-0004491,retail,active,2021-11-08,very_high,3.3
CUST000839,PTY000839,CN-0000839,affluent,lapsed,2022-12-09,high,14.54
CUST002820,PTY002820,CN-0002820,small_business,former,2026-04-14,medium,81.4
CUST000986,PTY000986,CN-0000986,small_business,former,2023-06-26,high,91.34
CUST000332,PTY000332,CN-0000332,affluent,former,2026-02-02,very_high,42.38
CUST003580,PTY003580,CN-0003580,small_business,active,2023-08-30,high,44.83
CUST003157,PTY003157,CN-0003157,affluent,active,2020-10-15,very_high,17.82
CUST000129,PTY000129,CN-0000129,retail,active,2022-02-03,medium,32.75
CUST001533,PTY001533,CN-0001533,retail,lapsed,2026-02-02,very_high,60.65
CUST003153,PTY003153,CN-0003153,affluent,inactive,2018-07-12,very_high,0.27
CUST003041,PTY003041,CN-0003041,affluent,lapsed,2023-02-18,high,82.24
CUST003094,PTY003094,CN-0003094,retail,prospect,2018-10-29,high,56.69
CUST004930,PTY004930,CN-0004930,retail,active,2020-06-05,low,48.82
CUST002878,PTY002878,CN-0002878,retail,former,2018-11-14,very_high,86.84
CUST002309,PTY002309,CN-0002309,small_business,lapsed,2025-10-21,low,20.59
CUST002721,PTY002721,CN-0002721,affluent,former,2019-08-31,very_high,5.86
CUST002274,PTY002274,CN-0002274,affluent,active,2025-01-08,low,8.65
CUST003296,PTY003296,CN-0003296,affluent,lapsed,2024-06-13,low,39.14
CUST001471,PTY001471,CN-0001471,retail,lapsed,2024-07-09,very_high,90.08
CUST001991,PTY001991,CN-0001991,affluent,active,2019-04-07,low,3.01
CUST002630,PTY002630,CN-0002630,affluent,prospect,2022-01-11,medium,21.44
CUST004512,PTY004512,CN-0004512,small_business,former,2023-06-21,medium,15.01
CUST000746,PTY000746,CN-0000746,small_business,active,2025-05-31,very_high,82.33
CUST000820,PTY000820,CN-0000820,small_business,active,2026-03-06,medium,35.86
CUST004047,PTY004047,CN-0004047,small_business,lapsed,2021-08-12,high,80.87
CUST000691,PTY000691,CN-0000691,retail,prospect,2025-11-24,high,29.48
CUST000769,PTY000769,CN-0000769,small_business,prospect,2023-05-24,very_high,18.77
CUST001757,PTY001757,CN-0001757,retail,lapsed,2022-12-08,medium,33.11
CUST001014,PTY001014,CN-0001014,small_business,active,2023-05-22,very_high,76.34
CUST002919,PTY002919,CN-0002919,retail,inactive,2019-04-28,low,40.15
CUST003285,PTY003285,CN-0003285,retail,active,2018-10-27,high,43.69
CUST002729,PTY002729,CN-0002729,small_business,inactive,2020-02-29,high,95.1
CUST001910,PTY001910,CN-0001910,small_business,active,2021-01-14,low,78.73
CUST002112,PTY002112,CN-0002112,affluent,inactive,2019-05-29,very_high,57.03
CUST000541,PTY000541,CN-0000541,small_business,inactive,2019-11-13,very_high,95.15
CUST001188,PTY001188,CN-0001188,affluent,active,2025-09-20,very_high,46.93
CUST004633,PTY004633,CN-0004633,affluent,prospect,2019-10-02,low,82.41
CUST002158,PTY002158,CN-0002158,retail,former,2025-07-20,low,12.76
CUST004706,PTY004706,CN-0004706,retail,former,2026-07-29,high,66.14
CUST003349,PTY003349,CN-0003349,affluent,lapsed,2020-01-15,high,37.15
CUST001476,PTY001476,CN-0001476,retail,prospect,2024-03-12,low,25.97
CUST000160,PTY000160,CN-0000160,retail,active,2025-03-10,very_high,93.77
CUST002895,PTY002895,CN-0002895,retail,inactive,2021-09-18,medium,55.3
CUST002676,PTY002676,CN-0002676,small_business,inactive,2020-01-19,very_high,31.58
CUST001662,PTY001662,CN-0001662,retail,active,2026-06-04,low,9.17
CUST003189,PTY003189,CN-0003189,affluent,former,2018-10-29,high,1.64
CUST002301,PTY002301,CN-0002301,affluent,former,2021-05-04,very_high,92.34
CUST004177,PTY004177,CN-0004177,small_business,prospect,2021-02-07,very_high,31.2
CUST001565,PTY001565,CN-0001565,affluent,former,2024-04-18,medium,98.39
CUST001489,PTY001489,CN-0001489,small_business,lapsed,2021-07-05,low,79.47
CUST004846,PTY004846,CN-0004846,affluent,active,2025-05-03,medium,61.53
CUST000288,PTY000288,CN-0000288,retail,lapsed,2024-05-20,medium,10.09
CUST000607,PTY000607,CN-0000607,retail,prospect,2019-05-21,high,21.13
CUST001372,PTY001372,CN-0001372,affluent,former,2020-02-18,very_high,77.35
CUST000370,PTY000370,CN-0000370,small_business,lapsed,2021-03-21,low,8.15
CUST002601,PTY002601,CN-0002601,affluent,prospect,2023-06-20,medium,34.67
CUST002997,PTY002997,CN-0002997,small_business,lapsed,2019-07-15,medium,28.09
CUST003945,PTY003945,CN-0003945,affluent,active,2025-09-09,medium,66.45
CUST001288,PTY001288,CN-0001288,affluent,active,2020-12-23,high,21.91
CUST000590,PTY000590,CN-0000590,retail,prospect,2025-09-22,medium,60.46
CUST001222,PTY001222,CN-0001222,small_business,inactive,2018-12-02,high,44.25
CUST002457,PTY002457,CN-0002457,retail,lapsed,2023-09-03,high,71.69
CUST003000,PTY003000,CN-0003000,affluent,lapsed,2018-01-14,medium,50.09
CUST004838,PTY004838,CN-0004838,small_business,former,2020-11-07,very_high,6.43
CUST002221,PTY002221,CN-0002221,small_business,prospect,2025-05-18,high,43.29
CUST002126,PTY002126,CN-0002126,small_business,prospect,2022-05-28,very_high,61.63
CUST002681,PTY002681,CN-0002681,retail,active,2018-06-01,high,57.5
CUST002059,PTY002059,CN-0002059,affluent,inactive,2019-07-31,medium,41.32
CUST000612,PTY000612,CN-0000612,small_business,prospect,2023-12-22,low,49.48
CUST002135,PTY002135,CN-0002135,retail,lapsed,2022-12-28,medium,84.19
CUST002176,PTY002176,CN-0002176,small_business,inactive,2022-09-07,low,38.32
CUST003636,PTY003636,CN-0003636,affluent,lapsed,2022-06-20,very_high,53.46
CUST001026,PTY001026,CN-0001026,small_business,active,2019-10-17,high,35.34
CUST000788,PTY000788,CN-0000788,small_business,inactive,2026-02-03,low,25.13
CUST004687,PTY004687,CN-0004687,affluent,former,2018-05-10,medium,67.9
CUST001542,PTY001542,CN-0001542,affluent,prospect,2019-04-04,medium,24.44
CUST000109,PTY000109,CN-0000109,affluent,former,2025-01-30,low,84.3
CUST004948,PTY004948,CN-0004948,retail,lapsed,2019-05-31,high,65.24
CUST001680,PTY001680,CN-0001680,affluent,inactive,2019-06-30,low,78.95
CUST002695,PTY002695,CN-0002695,affluent,inactive,2024-06-09,high,27.43
CUST004112,PTY004112,CN-0004112,affluent,prospect,2024-11-08,medium,1.64
CUST003250,PTY003250,CN-0003250,affluent,prospect,2018-10-17,medium,88.95
CUST003048,PTY003048,CN-0003048,affluent,prospect,2022-04-08,high,61.69
CUST001245,PTY001245,CN-0001245,affluent,former,2020-03-11,low,6.74
CUST002007,PTY002007,CN-0002007,small_business,former,2018-01-15,very_high,94.35
CUST001859,PTY001859,CN-0001859,affluent,inactive,2025-05-29,low,84.96
CUST003608,PTY003608,CN-0003608,retail,lapsed,2021-09-25,low,92.98
CUST004275,PTY004275,CN-0004275,affluent,active,2023-12-06,medium,83.47
CUST003817,PTY003817,CN-0003817,retail,inactive,2018-08-27,medium,58.93
CUST002401,PTY002401,CN-0002401,retail,inactive,2019-11-12,low,61.38
CUST003511,PTY003511,CN-0003511,small_business,lapsed,2025-10-29,high,32.4
CUST001711,PTY001711,CN-0001711,retail,active,2019-11-18,low,51.02
CUST003757,PTY003757,CN-0003757,retail,active,2020-09-07,very_high,28.23
CUST001958,PTY001958,CN-0001958,small_business,former,2022-01-22,high,67.58
CUST002406,PTY002406,CN-0002406,retail,lapsed,2021-01-02,high,47.42
CUST004349,PTY004349,CN-0004349,small_business,former,2023-12-28,low,46.76
CUST000407,PTY000407,CN-0000407,retail,active,2023-06-08,low,28.26
CUST001892,PTY001892,CN-0001892,small_business,prospect,2019-07-18,low,15.13
CUST002886,PTY002886,CN-0002886,affluent,inactive,2018-01-22,medium,74.14
CUST003927,PTY003927,CN-0003927,affluent,former,2018-02-27,very_high,42.39
CUST001782,PTY001782,CN-0001782,retail,former,2022-07-08,medium,4.19
CUST000923,PTY000923,CN-0000923,retail,lapsed,2020-10-24,very_high,20.06
CUST004636,PTY004636,CN-0004636,small_business,active,2021-12-11,medium,46.61
CUST000413,PTY000413,CN-0000413,small_business,former,2025-06-29,very_high,59.78
CUST001532,PTY001532,CN-0001532,retail,inactive,2019-02-23,high,52.62
CUST000357,PTY000357,CN-0000357,small_business,prospect,2020-05-16,very_high,93.99
CUST001722,PTY001722,CN-0001722,affluent,former,2022-10-10,low,68.2
CUST002329,PTY002329,CN-0002329,affluent,inactive,2025-01-25,low,37.05
CUST003683,PTY003683,CN-0003683,retail,inactive,2018-06-14,very_high,45.36
CUST000221,PTY000221,CN-0000221,affluent,inactive,2021-04-01,medium,30.36
CUST000680,PTY000680,CN-0000680,affluent,prospect,2021-08-03,high,68.47
CUST000814,PTY000814,CN-0000814,retail,former,2026-07-27,medium,81.53
