agent_id,party_id,agent_number,license_state,channel,territory_code,appointment_date,status
AGT00041,PTY005041,AN-000041,NH,direct,TERR-09,2019-09-17,active
AGT00042,PTY005042,AN-000042,MI,independent,TERR-14,2017-01-18,active
AGT00043,PTY005043,AN-000043,CO,broker,TERR-17,2016-08-21,active
AGT00044,PTY005044,AN-000044,UT,exclusive,TERR-38,2016-06-28,active
AGT00045,PTY005045,AN-000045,IA,exclusive,TERR-25,2018-01-31,active
AGT00046,PTY005046,AN-000046,PA,exclusive,TERR-16,2025-12-18,inactive
AGT00047,PTY005047,AN-000047,SC,exclusive,TERR-03,2019-07-29,active
AGT00048,PTY005048,AN-000048,FL,independent,TERR-05,2017-11-19,active
AGT00049,PTY005049,AN-000049,GU,independent,TERR-28,2020-12-09,inactive
AGT00050,PTY005050,AN-000050,MA,broker,TERR-13,2020-06-24,terminated
AGT00051,PTY005051,AN-000051,TX,independent,TERR-21,2020-12-15,inactive
AGT00052,PTY005052,AN-000052,UT,exclusive,TERR-27,2017-09-09,active
AGT00053,PTY005053,AN-000053,AS,partner,TERR-37,2022-01-05,terminated
AGT00054,PTY005054,AN-000054,VT,broker,TERR-10,2021-12-23,inactive
AGT00055,PTY005055,AN-000055,MN,partner,TERR-18,2016-11-29,active
AGT00056,PTY005056,AN-000056,OK,independent,TERR-29,2022-01-21,active
AGT00057,PTY005057,AN-000057,MP,direct,TERR-34,2018-06-17,active
AGT00058,PTY005058,AN-000058,IN,exclusive,TERR-35,2023-04-09,active
AGT00059,PTY005059,AN-000059,MN,partner,TERR-38,2021-01-18,active
AGT00060,PTY005060,AN-000060,CT,independent,TERR-13,2015-09-15,active
AGT00061,PTY005061,AN-000061,AL,broker,TERR-36,2019-05-16,active
AGT00062,PTY005062,AN-000062,WI,broker,TERR-33,2020-02-28,active
AGT00063,PTY005063,AN-000063,MD,broker,TERR-11,2019-08-17,terminated
AGT00064,PTY005064,AN-000064,NM,exclusive,TERR-22,2026-08-13,active
AGT00065,PTY005065,AN-000065,AS,broker,TERR-03,2026-02-13,inactive
AGT00066,PTY005066,AN-000066,ID,exclusive,TERR-38,2026-05-28,inactive
AGT00067,PTY005067,AN-000067,NC,broker,TERR-17,2019-10-02,active
AGT00068,PTY005068,AN-000068,NE,broker,TERR-12,2017-12-13,active
AGT00069,PTY005069,AN-000069,RI,direct,TERR-32,2025-08-13,inactive
AGT00070,PTY005070,AN-000070,VT,broker,TERR-18,2020-09-04,terminated
AGT00071,PTY005071,AN-000071,TN,broker,TERR-38,2023-10-05,active
AGT00072,PTY005072,AN-000072,SC,broker,TERR-28,2015-10-05,active
AGT00073,PTY005073,AN-000073,MP,exclusive,TERR-28,2016-03-09,active
AGT00074,PTY005074,AN-000074,MI,partner,TERR-35,2023-09-02,terminated
AGT00075,PTY005075,AN-000075,HI,direct,TERR-20,2018-01-16,terminated
AGT00076,PTY005076,AN-000076,MT,independent,TERR-30,2024-09-28,active
AGT00077,PTY005077,AN-000077,FM,independent,TERR-32,2023-03-10,inactive
AGT00078,PTY005078,AN-000078,OK,partner,TERR-23,2020-02-10,active
AGT00079,PTY005079,AN-000079,MI,exclusive,TERR-38,2023-07-09,active
AGT00080,PTY005080,AN-000080,CA,exclusive,TERR-02,2018-02-18,active
AGT00081,PTY005081,AN-000081,WI,direct,TERR-11,2015-07-19,active
AGT00082,PTY005082,AN-000082,NV,broker,TERR-13,2020-09-05,terminated
AGT00083,PTY005083,AN-000083,WA,exclusive,TERR-06,2024-10-04,inactive
AGT00084,PTY005084,AN-000084,ND,partner,TERR-40,2016-05-10,active
AGT00085,PTY005085,AN-000085,AK,broker,TERR-30,2018-03-03,active
AGT00086,PTY005086,AN-000086,GU,partner,TERR-10,2024-11-16,inactive
AGT00087,PTY005087,AN-000087,VI,broker,TERR-07,2018-01-19,inactive
AGT00088,PTY005088,AN-000088,IA,independent,TERR-08,2021-08-27,inactive
AGT00089,PTY005089,AN-000089,AZ,independent,TERR-09,2016-04-10,active
