policy_id,policy_number,customer_id,agent_id,product_id,policy_status,effective_date,expiration_date,annual_premium,written_premium
POL003547,PN-00003547,CUST000298,AGT00176,PROD0037,active,2025-05-24,2026-05-24,6877.81,6650.84
POL002816,PN-00002816,CUST003605,AGT00475,PROD0049,active,2024-01-14,2025-01-13,3470.24,3290.32
POL000221,PN-00000221,CUST003004,AGT00031,PROD0034,expired,2025-05-05,2026-05-05,2837.5,2669.46
POL001624,PN-00001624,CUST002336,AGT00239,PROD0047,renewed,2026-07-14,2027-07-14,11372.48,11080.38
POL002641,PN-00002641,CUST004581,AGT00374,PROD0031,expired,2025-06-14,2026-06-14,9690.96,9332.4
POL003155,PN-00003155,CUST001561,AGT00493,PROD0045,cancelled,2024-02-04,2025-02-03,4568.38,4325.87
POL003377,PN-00003377,CUST000660,AGT00209,PROD0013,renewed,2026-01-18,2027-01-18,365.8,335.84
POL003307,PN-00003307,CUST002346,AGT00385,PROD0037,active,2023-10-05,2024-10-04,3520.93,3513.28
POL001209,PN-00001209,CUST004332,AGT00347,PROD0010,renewed,2024-10-22,2025-10-22,10347.13,9324.01
POL001727,PN-00001727,CUST004143,AGT00454,PROD0040,cancelled,2025-07-01,2026-07-01,7679.95,7453.91
POL003492,PN-00003492,CUST000087,AGT00176,PROD0018,active,2024-05-20,2025-05-20,5205.37,5129.56
POL004046,PN-00004046,CUST002643,AGT00038,PROD0002,renewed,2023-11-14,2024-11-13,6964.62,6513.05
POL000623,PN-00000623,CUST004095,AGT00383,PROD0030,cancelled,2023-03-06,2024-03-05,9370.97,9119.59
POL002677,PN-00002677,CUST001747,AGT00121,PROD0008,active,2025-06-19,2026-06-19,1106.67,1095.08
POL003666,PN-00003666,CUST003644,AGT00404,PROD0005,active,2026-08-28,2027-08-28,6491.04,5906.84
POL003685,PN-00003685,CUST004607,AGT00470,PROD0033,expired,2023-10-20,2024-10-19,10452.34,9898.83
POL001498,PN-00001498,CUST001373,AGT00361,PROD0025,renewed,2024-02-15,2025-02-14,8523.85,8086.86
POL004511,PN-00004511,CUST001309,AGT00426,PROD0015,cancelled,2025-06-17,2026-06-17,3904.14,3690.23
POL002948,PN-00002948,CUST003937,AGT00240,PROD0021,active,2025-05-06,2026-05-06,12784.94,12061.66
POL003092,PN-00003092,CUST004440,AGT00239,PROD0004,renewed,2025-02-07,2026-02-07,1915.76,1782.4
POL003946,PN-00003946,CUST003515,AGT00214,PROD0034,cancelled,2025-08-25,2026-08-25,9737.68,9697.9
POL001625,PN-00001625,CUST000803,AGT00138,PROD0036,cancelled,2024-05-26,2025-05-26,11177.21,11031.28
POL000396,PN-00000396,CUST002833,AGT00330,PROD0015,renewed,2024-01-21,2025-01-20,13037.28,11919.29
POL001317,PN-00001317,CUST003111,AGT00250,PROD0039,cancelled,2025-01-09,2026-01-09,12126.77,11815.58
POL000376,PN-00000376,CUST004658,AGT00187,PROD0050,cancelled,2025-01-13,2026-01-13,7503.11,7161.03
POL004746,PN-00004746,CUST004159,AGT00451,PROD0034,expired,2023-09-22,2024-09-21,14755.08,14099.41
POL002756,PN-00002756,CUST001476,AGT00238,PROD0034,expired,2026-07-20,2027-07-20,8454.84,8345.62
POL002061,PN-00002061,CUST004052,AGT00177,PROD0031,expired,2024-08-22,2025-08-22,4905.63,4553.99
POL003407,PN-00003407,CUST002274,AGT00478,PROD0046,renewed,2025-04-17,2026-04-17,874.34,842.39
POL001005,PN-00001005,CUST004212,AGT00396,PROD0002,active,2025-04-28,2026-04-28,12843.79,11650.75
POL002658,PN-00002658,CUST002709,AGT00281,PROD0025,expired,2026-06-02,2027-06-02,6935.07,6927.2
POL000696,PN-00000696,CUST004866,AGT00123,PROD0031,expired,2024-06-18,2025-06-18,1945.42,1839.46
POL002981,PN-00002981,CUST000578,AGT00070,PROD0025,active,2025-04-05,2026-04-05,6348.0,5957.62
POL002265,PN-00002265,CUST003970,AGT00015,PROD0040,cancelled,2025-07-30,2026-07-30,1789.72,1684.5
POL000646,PN-00000646,CUST004538,AGT00442,PROD0016,active,2023-07-22,2024-07-21,7317.06,6817.49
POL000413,PN-00000413,CUST002301,AGT00236,PROD0014,cancelled,2025-10-09,2026-10-09,7465.01,6821.26
POL002251,PN-00002251,CUST003532,AGT00465,PROD0031,cancelled,2024-01-07,2025-01-06,11515.54,10429.31
POL001288,PN-00001288,CUST004497,AGT00481,PROD0001,expired,2025-11-15,2026-11-15,11047.92,10295.58
POL002299,PN-00002299,CUST003335,AGT00177,PROD0030,active,2025-08-03,2026-08-03,10839.41,10021.16
POL002236,PN-00002236,CUST001399,AGT00355,PROD0003,renewed,2025-01-07,2026-01-07,9081.36,8410.0
POL003825,PN-00003825,CUST000413,AGT00157,PROD0016,active,2026-04-01,2027-04-01,11828.42,11254.79
POL001062,PN-00001062,CUST000265,AGT00291,PROD0040,renewed,2025-03-04,2026-03-04,10194.56,9645.26
POL003771,PN-00003771,CUST002816,AGT00164,PROD0012,cancelled,2023-10-16,2024-10-15,735.19,669.13
POL004861,PN-00004861,CUST000031,AGT00172,PROD0001,cancelled,2025-05-02,2026-05-02,7898.44,7848.06
POL002554,PN-00002554,CUST003720,AGT00318,PROD0046,active,2024-07-14,2025-07-14,9402.58,9213.69
POL001842,PN-00001842,CUST000677,AGT00079,PROD0004,expired,2025-01-24,2026-01-24,14517.29,13660.06
POL003339,PN-00003339,CUST004247,AGT00426,PROD0011,expired,2025-04-16,2026-04-16,3289.4,2983.72
POL004545,PN-00004545,CUST004854,AGT00063,PROD0015,cancelled,2023-03-22,2024-03-21,9532.46,8579.35
POL000182,PN-00000182,CUST004514,AGT00167,PROD0008,active,2024-03-31,2025-03-31,3581.97,3251.6
POL001175,PN-00001175,CUST002956,AGT00262,PROD0046,renewed,2024-08-17,2025-08-17,6011.1,5796.4
POL000506,PN-00000506,CUST004664,AGT00256,PROD0043,active,2026-03-12,2027-03-12,14937.79,14654.59
POL002939,PN-00002939,CUST000808,AGT00485,PROD0045,cancelled,2024-03-10,2025-03-10,1911.82,1861.23
POL004119,PN-00004119,CUST000752,AGT00155,PROD0011,renewed,2025-03-01,2026-03-01,11932.65,11092.41
POL001442,PN-00001442,CUST000247,AGT00052,PROD0017,cancelled,2023-02-04,2024-02-04,13263.12,12881.78
POL001003,PN-00001003,CUST002874,AGT00457,PROD0025,renewed,2024-12-18,2025-12-18,14430.5,14421.7
POL002145,PN-00002145,CUST004075,AGT00218,PROD0008,renewed,2023-02-09,2024-02-09,458.31,428.71
POL000542,PN-00000542,CUST002522,AGT00320,PROD0016,renewed,2024-11-11,2025-11-11,6725.29,6549.83
POL004040,PN-00004040,CUST001977,AGT00182,PROD0003,renewed,2024-04-27,2025-04-27,12169.92,11908.41
POL000172,PN-00000172,CUST002895,AGT00308,PROD0020,active,2023-01-30,2024-01-30,8794.01,8496.62
POL004335,PN-00004335,CUST002733,AGT00479,PROD0033,cancelled,2024-06-12,2025-06-12,13645.63,12736.39
POL001602,PN-00001602,CUST000567,AGT00464,PROD0018,active,2023-01-08,2024-01-08,8411.86,8110.66
POL004924,PN-00004924,CUST001485,AGT00139,PROD0010,active,2024-05-17,2025-05-17,9394.49,9054.94
POL002403,PN-00002403,CUST000534,AGT00175,PROD0005,renewed,2024-03-01,2025-03-01,4862.03,4557.38
POL004584,PN-00004584,CUST000413,AGT00365,PROD0012,renewed,2023-04-13,2024-04-12,7699.71,6963.07
POL000865,PN-00000865,CUST000659,AGT00353,PROD0030,renewed,2024-12-13,2025-12-13,11439.26,11107.93
POL000532,PN-00000532,CUST000212,AGT00322,PROD0035,renewed,2024-10-17,2025-10-17,12147.09,11476.03
POL000892,PN-00000892,CUST003393,AGT00001,PROD0046,renewed,2025-12-28,2026-12-28,9255.54,9151.49
POL002676,PN-00002676,CUST000832,AGT00426,PROD0044,active,2024-10-13,2025-10-13,9454.4,8952.54
POL002681,PN-00002681,CUST002649,AGT00118,PROD0016,expired,2024-04-10,2025-04-10,664.74,659.75
POL004659,PN-00004659,CUST000979,AGT00435,PROD0028,expired,2023-11-11,2024-11-10,9258.37,9005.56
POL001481,PN-00001481,CUST004311,AGT00002,PROD0043,active,2024-01-29,2025-01-28,723.3,694.01
POL001881,PN-00001881,CUST001040,AGT00219,PROD0004,expired,2024-09-18,2025-09-18,8581.44,8257.88
POL002524,PN-00002524,CUST000463,AGT00185,PROD0010,expired,2023-06-03,2024-06-02,7686.14,7163.8
POL001512,PN-00001512,CUST002840,AGT00377,PROD0035,active,2023-02-15,2024-02-15,14706.75,14201.99
POL004943,PN-00004943,CUST001833,AGT00339,PROD0032,expired,2025-02-26,2026-02-26,909.67,847.76
POL000888,PN-00000888,CUST004390,AGT00469,PROD0013,active,2026-07-26,2027-07-26,13365.04,13037.15
POL003792,PN-00003792,CUST001587,AGT00085,PROD0042,active,2025-05-05,2026-05-05,11013.82,10612.55
POL004819,PN-00004819,CUST003934,AGT00109,PROD0034,expired,2025-12-13,2026-12-13,14093.9,13611.07
POL000355,PN-00000355,CUST000979,AGT00415,PROD0009,renewed,2025-04-02,2026-04-02,7875.3,7681.63
POL001700,PN-00001700,CUST000483,AGT00110,PROD0028,renewed,2025-10-12,2026-10-12,4579.72,4324.22
POL004212,PN-00004212,CUST001280,AGT00088,PROD0013,renewed,2023-12-17,2024-12-16,11926.21,11891.0
POL000524,PN-00000524,CUST000021,AGT00446,PROD0028,expired,2024-01-29,2025-01-28,8625.47,8083.77
POL004413,PN-00004413,CUST004102,AGT00014,PROD0045,active,2026-01-01,2027-01-01,11577.79,11107.14
POL001305,PN-00001305,CUST003090,AGT00372,PROD0004,renewed,2026-01-24,2027-01-24,10651.8,10134.01
POL000781,PN-00000781,CUST003649,AGT00245,PROD0031,active,2023-08-16,2024-08-15,4293.87,4210.12
POL003056,PN-00003056,CUST004811,AGT00189,PROD0021,cancelled,2023-01-11,2024-01-11,11376.34,10787.98
POL000467,PN-00000467,CUST002630,AGT00018,PROD0030,cancelled,2023-11-06,2024-11-05,13483.93,12274.03
POL002101,PN-00002101,CUST002871,AGT00204,PROD0011,renewed,2023-05-11,2024-05-10,8826.79,8471.89
POL000862,PN-00000862,CUST002949,AGT00296,PROD0031,renewed,2023-11-12,2024-11-11,10173.89,9762.83
POL000338,PN-00000338,CUST003050,AGT00069,PROD0027,cancelled,2023-08-14,2024-08-13,4934.95,4658.82
POL004487,PN-00004487,CUST004156,AGT00298,PROD0043,active,2025-09-02,2026-09-02,14163.47,13665.4
POL001048,PN-00001048,CUST001922,AGT00140,PROD0001,renewed,2023-06-16,2024-06-15,314.83,295.69
POL002905,PN-00002905,CUST001418,AGT00121,PROD0036,expired,2025-06-17,2026-06-17,12267.21,12211.26
POL003273,PN-00003273,CUST004525,AGT00072,PROD0041,expired,2024-07-03,2025-07-03,6502.42,5983.87
POL000308,PN-00000308,CUST004603,AGT00258,PROD0043,expired,2024-11-07,2025-11-07,11312.62,10355.42
POL004032,PN-00004032,CUST000804,AGT00332,PROD0043,active,2026-01-12,2027-01-12,7493.48,7231.81
POL000788,PN-00000788,CUST004631,AGT00461,PROD0022,renewed,2024-03-17,2025-03-17,11771.1,10782.97
POL000882,PN-00000882,CUST003569,AGT00362,PROD0027,cancelled,2023-11-07,2024-11-06,14743.68,14560.8
POL000504,PN-00000504,CUST003901,AGT00098,PROD0030,renewed,2025-05-20,2026-05-20,3939.0,3724.58
POL003891,PN-00003891,CUST002686,AGT00151,PROD0015,cancelled,2025-01-18,2026-01-18,9851.61,9026.72
POL000949,PN-00000949,CUST001039,AGT00215,PROD0048,renewed,2025-12-13,2026-12-13,8054.29,7480.29
POL004084,PN-00004084,CUST002156,AGT00333,PROD0008,expired,2024-09-03,2025-09-03,4713.73,4413.37
POL002043,PN-00002043,CUST004272,AGT00316,PROD0022,renewed,2025-10-26,2026-10-26,11743.07,11281.47
POL001910,PN-00001910,CUST001750,AGT00406,PROD0022,active,2024-07-21,2025-07-21,9529.69,8904.09
POL002945,PN-00002945,CUST003991,AGT00339,PROD0003,expired,2023-05-17,2024-05-16,994.18,913.91
POL001640,PN-00001640,CUST003563,AGT00225,PROD0042,expired,2026-07-06,2027-07-06,10119.37,9392.61
POL001357,PN-00001357,CUST003099,AGT00043,PROD0027,expired,2023-12-25,2024-12-24,13298.23,12038.95
POL004572,PN-00004572,CUST004175,AGT00242,PROD0036,cancelled,2025-06-13,2026-06-13,12463.65,12391.27
POL000188,PN-00000188,CUST004005,AGT00272,PROD0031,active,2023-08-15,2024-08-14,9041.11,8377.75
POL002523,PN-00002523,CUST004721,AGT00493,PROD0016,renewed,2023-01-16,2024-01-16,11777.96,11250.89
POL004364,PN-00004364,CUST004974,AGT00437,PROD0014,active,2023-06-15,2024-06-14,9406.79,9000.05
POL001948,PN-00001948,CUST003114,AGT00038,PROD0004,expired,2023-11-01,2024-10-31,14487.79,13998.1
POL001545,PN-00001545,CUST002163,AGT00280,PROD0040,cancelled,2023-01-06,2024-01-06,13031.2,12160.51
POL004058,PN-00004058,CUST002393,AGT00051,PROD0020,renewed,2025-03-02,2026-03-02,5414.8,5226.0
POL003962,PN-00003962,CUST003101,AGT00343,PROD0031,cancelled,2023-03-11,2024-03-10,13128.14,12680.19
POL004247,PN-00004247,CUST002351,AGT00354,PROD0041,cancelled,2023-09-30,2024-09-29,2063.93,1877.16
POL000317,PN-00000317,CUST001293,AGT00180,PROD0025,renewed,2023-05-01,2024-04-30,987.1,908.23
POL001088,PN-00001088,CUST003930,AGT00249,PROD0046,active,2026-04-22,2027-04-22,14632.05,14195.52
POL004753,PN-00004753,CUST003296,AGT00425,PROD0012,renewed,2023-08-06,2024-08-05,440.66,433.1
POL002957,PN-00002957,CUST001390,AGT00089,PROD0002,renewed,2025-05-02,2026-05-02,12195.45,11388.52
POL004669,PN-00004669,CUST003330,AGT00359,PROD0044,expired,2023-08-20,2024-08-19,14121.37,13950.05
POL001778,PN-00001778,CUST003881,AGT00433,PROD0006,active,2024-04-25,2025-04-25,11208.17,10308.7
POL001711,PN-00001711,CUST001384,AGT00239,PROD0045,active,2025-06-28,2026-06-28,2243.83,2023.63
POL002929,PN-00002929,CUST004442,AGT00354,PROD0015,renewed,2024-04-02,2025-04-02,7368.95,7105.29
